content,label
超划算的,1
iPhone的性价比之王,1
一套不同国家电源转换插头,-1
由于安装师傅上门安装时,0
55英寸的这个创维,0
我更喜欢那个的感觉,1
拿到手机第二天莫名其妙保护膜就裂了,-1
全部试了一遍都不行,-1
送的装备也很齐全,1
原来买的是内存32G的我在用好用,1
因为修剪器充电口处有一凸起,-1
提升幸福感必备,1
9号送人,0
紫色骚气,1
搭配手持吸尘器,0
包装的很精细,1
买了好几个华为手机了,1
当时还一下子买了3台,0
很喜欢这个牌子的啊,1
运行速度：除了反应慢,-1
关键是买的别的加湿器都是水干自动断电,-1
我只想问你们一个电脑利润就这么高,-1
用用还可以暂时没有发现问题,1
在京东购物总是让我高兴,1
这个门卡使用非常灵敏、方便,1
包装充分完好,1
华为的路由器好,1
希望以后也可以的屏幕跟音效都不错的,1
无论是正面还是侧面,0
高大上的东西,1
我的收据没帮开过来,-1
外形外观：和x一样,0
商家能积极处理客户碰到的问题,1
确实不会买苹果的手机,-1
目前使用一切正常,1
唯一觉得不足的就是app,-1
其他特色：现在我京东的速度很快,1
直接不回,-1
两个不足：,-1
很好支持国货,1
从内到外都很棒,1
的质量很好,1
待机时间：能从早用到晚,1
待机时间：续航是个鸡肋,-1
看看没动手,0
说不能直接放在地板上,0
后续体验再来追评,0
而且我还是联通卡,0
我们生活使用日常杠杠滴,1
充电慢费电快,-1
自从知道评论之后京豆可以抵现金了,0
运行速度：效果很不错,1
中午送到马上装好,0
然后Windows10和以前的系统有点不同,0
到的也快,1
感觉没有我的5T好用,-1
相信京东没问题,1
晚上睡觉开起好睡多了,1
华为是首选,1
还好可以,1
适合单身租房的,1
但是只给5月24以后买的保价,0
昨晚定,0
电池比较耐用、不再担心一天一次冲,1
已经离不开戴森了,1
物流速度很快电脑到了没有任何瑕疵,1
感觉音质很棒,1
待机时间没使用的情况下4天左右可以的,0
拍照效果：基本不用,0
这次活动价,0
东西用着很好,1
好不好用还没试,0
后悔换苹果了,-1
看起来挺不错,1
以后还找你购买,1
总算是没有让人失望,1
待机时间：全是很久,1
和v20犹豫了一番,0
扫拖一起干,1
这次买净水器滤芯也是很坚决,0
买的也都是256G,0
反复装卡重启都不行,-1
我觉得有点厚,-1
结果京东物流速度很快,1
公司常年采购,0
到货速度稍慢些,-1
宝宝们都很喜欢,1
外观看上去赞,1
这个电水壶确实好用,1
物流又给力,1
在门上有档次解锁识别速度,1
商家非常诚信,1
半个月过去了,0
容量大小：3口之家正合适,1
而且京东快递小姐姐服务还好,1
平时折叠放着特别的小,0
屏幕音效：屏幕a屏,0
由于是双十一买的,0
也优惠不了几块钱,-1
打400电话也不给安装,-1
电脑性价比可以,1
送货的师傅服务超好,1
拍照效果：拍照效果就是下面那个特别真实清晰,1
这次装修先预埋,0
这款颜色漂亮,1
我严重怀疑他们发的是翻新机,-1
一个人用大小刚好,1
二档稍微有点声音,0
比如刷,0
手机一直忘了来评价,0
好看的不得了,1
而且贵的壶和便宜的区别不大,-1
用了很长时间才来评论的,0
但是你要是戴上眼镜就不能识别了,-1
尺度也够用,1
好在很清晰,1
节省了地方,1
妈妈换手机很方便,1
运行速度：运行速度比其它手机更优秀,1
师傅送货也快,1
就拍了,0
自己买配件升级拖地,0
另外充电器有点大不太方便携带,-1
指示灯都是准确完好,1
外形外观：高端大气配置较高,1
非常失望的一次购物,-1
东西真心一般,0
还赠送了手机卡,1
忘记拍照就不上图了,0
事很多,0
比L580画面清晰,1
音质很好画质也很清晰,1
极具个性,1
作为入伙礼物买的,0
再到指纹锁的使用,0
售前售后都好,1
热情服务完,1
产品吸尘很好,1
这个价格买的很值得,1
这次买的电器很满意,1
和我同事华为的比快多了,1
以后买手机还来这买,1
中度使用也能一天,1
外形外观：手机,0
最最重要的是拿到手已经贴了原装手机屏幕膜,1
金属后盖,0
855puls稳得一批,1
办公用挺好,1
买来运动计步用的,0
扫起来很干净,1
帮朋友公司购买,0
却是没有水雾,-1
这款ⅵvo手机配骁龙855芯片,0
这个试了,0
主要客服也非常好哦,1
没想到千元机也这么强大,1
老婆很喜欢大小正合适,1
肖正友,0
发票到了,0
商家才有这样的底气,0
运行速度：麒麟980处理器运行速度很快,1
拍照质量真的超赞,1
噪音大小：还好,1
听着没啥感觉唉,0
来了就直接点亮了,0
相机算是对得起价格了,1
大小正好合适,1
沾了点水,0
就是插座这总插拔会不会坏,0
1.照相,0
卖家检测没问题,1
还一百多,0
诱光灯的效果相当不错,1
开关门声音太大了,-1
需要找人安装,0
颜值俱佳,1
装的时候就开了两三个小时还凉的挺快,1
所以硬盘都得多分点,0
值得回购哟,1
智能锁之初体验,0
w这个配件还可以,1
然后还是拆开看了下,0
今年夏天特别的热,0
希望质量一如既往的好,1
购买之前对比了很多款式和牌子的电视,0
小孩子爱看动画片,1
其他的话有待日后确认,0
送给长辈用的,0
不过找遍了京东,0
好的卖家卖的宝贝,1
准备洗了,0
电视50寸以为没多大,0
600多的加湿器,0
搞得我水漏了一地,-1
一会要这样一会要那样,-1
五六个了,0
不知道是几手的,0
至少做工很不错,1
得亏有它,1
和电影里一样,0
新的刚到手就坏了你敢信,-1
基本每次充电不到半小时就能满,1
提示无网络,-1
东西巳收到,0
运行速度：暂时用起来很快,1
这两天主要试机,0
但是在京东买了这个给父亲用,0
但是图像处理能力很好,1
到今天一个月了,0
不要太挑剔,0
没其他毛病,1
解压压缩包就很热,-1
售后告诉我夏天要开6档,0
不过就是出雾好小,-1
最重要的是价格优惠,1
好说歹说收下了,0
充电二十多分钟就能充满,1
客服售后态度极差,-1
用了一天了没有一点水遗留在桌子上,1
没有蒸菜层的,-1
小不足,-1
耳机总是自己断开,-1
应该不影响使用,1
手机颜色跟图片有点不同,-1
自己找,0
值得购买大品牌,1
如果性价比可以再高一点的话就好啦,0
用十年是没问题的,1
按网上教程试了半天u盘里的都不识别,-1
不再断线了、超爽,1
估计我得抱着它睡觉,0
这次基础版入手,0
送的屏幕膜,1
在反复开关机之后才激活成功,-1
因为比实体店会便宜实惠好多,1
还没用就先恢复出厂设置了,-1
体验下,0
红薯粉色小鳄鱼竿支架子鼓浪屿啊啊啊啊五环之歌名,0
但是客服连最基本的东西都不懂,-1
雾气刚开始很小,-1
其他特色：就是原装充电器充电很慢,-1
华为10plus,0
今天安上了,0
下次再试试看,0
加水量并不多,1
说是可以无理由退换,1
总结：不推荐此型号,-1
不知道怎么样用段时间在看看,0
未使用的情况下,0
还好是练体育的,0
但是运行速度还行,1
问了又说去那边问,-1
也买了一台,0
收到宝贝特意用了一段时间过来评价,0
安装的师傅也很尽心,1
想不想买也就自己看的办吧,0
安装起来也很简单,1
还送整机10年保修,1
其他特色：拍照效果好,1
放两条就洗不干净了,-1
也不厚,0
对用户使用很友好,1
物流服务都超好,1
就是最简单的一种,1
比想象中的要小的多,-1
没想到这么大声音,-1
电视语音识别度很高在厨房都可以听清楚你要说的话,1
但是还是稍微重了一些,-1
和商家描述得一致,1
手机外观轻薄款音效非常好,1
厂家直接给我换一个,1
放心了不少,1
这个还没换呢,0
装上后那水立刻变得清澈透明,1
质量问题,-1
可以无线打印,1
比较热情,1
这种电器之类的,0
安装师傅的服务态度非常好,1
质量也满意,1
按照他们的方法,0
今天最后一局还剩百分之11的电我又开了一局,0
很好正品,1
亲测待机量30+,0
但是想起这个屏幕,0
沉浸式音乐感受&rdquo,1
京东大家电价格便宜,1
然后色彩还原度也比较好,1
1-2秒就能识别,1
明明是想买路由器的,0
能带大耳机,0
商品没啥,0
出差、旅行携带方便,1
声明快递员很给力,1
现在的快递都是下楼自己拿的,0
还没有我九块九三张的好,-1
特意把儿子煲好的IE60拿了试了下,0
快递很差,-1
为健康观影保驾护航,0
外形外观：白色的加点彩虹一样的颜色,0
非常美😊,1
非常耐心❤️",1
非常耐斯👌,1
非常讨人喜欢💕,1
非常让人喜欢😊,1
非常贴近我的状👌态,1
非常赞👍,1
非常赞👍家里之前的冰箱有点小了,1
非常迷你😄,1
非常适合女生👍👍,1
非常适合我这种臭美的女生😏,1
非常适合看😜😜😜,1
非常鄙视👎👎👎👎,-1
非常长不错😊",1
#😠骗人的吗我投诉,-1
#🤢🤢🤢,-1
(泽米张帆)❤",1
(给租户买的😂)颜值还挺高的,1
)-♡😊喜欢的程度没法用言语表达,1
)_💑啊对充电速度真的很快,1
*****超棒哈哈哈😁,1
**商家、恶心🤢,-1
**让我彻底伤心💔,-1
日了🐶,-1
日了🐶了,-1
2.自己的苏宁物流慢的像一坨💩（第一天早上八点下单,-1